from,to,profile,expected_time
"Mornico al Serio (BG) Via Bergamo, 20","Brusaporto (BG) Via Sicilia",car,"840s"
"Bussero","Albenga",car,"9600s"
"Assago","Pisa",car,"10740s"
"Milano, Via Lepontina, 11","Assago, via del Bosco Rinnovato",car,"1920s"
"Gorgonzola (MI) Via Ruggero Leoncavallo","Pessano con Bornago (MI) Cascina Bosco",car,"360s"
"Cuneo","mondovì",car,"1800s"
"Torino, Corso Carlo e Nello Rosselli, 124","Torino, Corso Mortara, 22",car,"1020s"
"Gimigliano","Catanzaro",car,"1800s"
"Catanzaro","Catanzaro Lido",car,"1080s"
"Tiriolo","Catanzaro",car,"1620s"
"Catanzaro","Lamezia Terme",car,"2040s"
"Catanzaro","Soverato",car,"2160s"
"Sellia Marina","Catanzaro",car,"1500s"
"Girifalco","Catanzaro",car,"2100s"
"Taverna","Catanzaro",car,"2220s"
"Squillace","Catanzaro",car,"1800s"
"San Frediano a Settimo frazione di Cascina (PI) Via Marco Polo, 69","Lido di Camaiore frazione di Camaiore (LU) Via degli Astronauti",car,"2700s"
"Pievetta Dogana Po","Broni (PV) Via Case Sparse Nord",car,"720s"
"Busnago Via al Campo","Busnago Via Piave",car,"277s"
"Busnago (MB) Via al Campo","Vimercate (MB) Via Giuseppe Mazzini, 2",car,"720s"
"Caspoggio (SO) Via Ezio Vanoni, 28","Santa Elisabetta frazione di Caspoggio (SO) Via Don Bosco",car,"240s"
"Cuneo (CN) Via Giambattista Tiepolo, 10","Torino (TO) Corso Carlo e Nello Rosselli, 124",car,"4150s"
